"label_wn_quote","is_delivery_at_holiday","is_created_at_holiday","duration","gender","area_cleaning","day_of_week_delivery","day_of_week_created","total_cost","all_offers","corporate_offers","individual_offers","offers_busy","district","past_day_all_orders","past_day_wq_1h","past_day_wq_2h","past_day_wq_3h","cost_to_area","cost_times_area","duration_to_area","duration_times_area","indiv_offers_to_all_offers","corp_offers_to_all_offers","busy_offers_to_all_offers"
1,0,0,3,"0",-1,"4","3",140000,83,8,75,0,"2",66,31,41,46,NA,NA,NA,NA,0.903614457831325,0.0963855421686747,0
0,0,0,2,"2",4,"6","5",-10000,153,6,147,0,"3",17,2,6,9,NA,NA,0.5,8,0.96078431372549,0.0392156862745098,0
1,0,0,1,"2",2,"2","1",120000,144,4,140,27,"13",103,45,54,63,60000,240000,0.5,2,0.972222222222222,0.0277777777777778,0.1875
1,0,0,1,"1",3,"1","0",80000,85,6,79,0,"2",51,41,45,48,26666.6666666667,240000,0.333333333333333,3,0.929411764705882,0.0705882352941176,0
1,0,0,6,"1",3,"3","1",-10000,144,4,140,1,"2",99,34,43,53,NA,NA,2,18,0.972222222222222,0.0277777777777778,0.00694444444444444
1,1,0,5,"2",4,"5","0",265000,86,6,80,0,"22",104,89,100,100,66250,1060000,1.25,20,0.930232558139535,0.0697674418604651,0
1,1,0,1,"0",-1,"5","4",135000,106,8,98,0,"2",47,23,34,38,NA,NA,NA,NA,0.924528301886792,0.0754716981132075,0
1,0,0,5,"2",3,"4","3",175000,39,7,32,0,"4",35,30,33,34,58333.3333333333,525000,1.66666666666667,15,0.82051282051282,0.179487179487179,0
1,0,0,2,"2",3,"1","0",104000,143,6,137,36,"3",6,5,5,5,34666.6666666667,312000,0.666666666666667,6,0.958041958041958,0.041958041958042,0.251748251748252
1,1,0,1,"2",4,"5","5",190000,78,6,72,0,"5",69,56,58,59,47500,760000,0.25,4,0.923076923076923,0.0769230769230769,0
1,0,0,5,"2",3,"1","0",-10000,164,12,152,0,"4",42,29,36,36,NA,NA,1.66666666666667,15,0.926829268292683,0.0731707317073171,0
0,0,0,1,"1",4,"0","6",145000,1,0,1,0,"11",11,6,7,8,36250,580000,0.25,4,1,0,0
0,1,0,5,"2",6,"5","4",230000,48,4,44,0,"6",49,44,46,46,38333.3333333333,1380000,0.833333333333333,30,0.916666666666667,0.0833333333333333,0
0,0,0,5,"1",2,"3","2",-10000,58,5,53,0,"7",147,117,128,130,NA,NA,2.5,10,0.913793103448276,0.0862068965517241,0
1,0,0,2,"2",5,"1","0",160000,57,6,51,0,"2",201,104,142,164,32000,800000,0.4,10,0.894736842105263,0.105263157894737,0
1,0,0,1,"2",2,"3","2",-10000,144,5,139,0,"3",71,27,34,45,NA,NA,0.5,2,0.965277777777778,0.0347222222222222,0
1,1,0,2,"0",-1,"5","4",0,98,5,93,0,"13",39,20,27,33,NA,NA,NA,NA,0.948979591836735,0.0510204081632653,0
1,0,0,2,"1",6,"1","6",135000,39,6,33,1,"3",32,28,29,30,22500,810000,0.333333333333333,12,0.846153846153846,0.153846153846154,0.0256410256410256
